"Item","QUANTITY","Reference","Value","MFG","MFG P/N","DIST","DIST P/N"
"1","1","C1","1nF-50V-5%-0805","KEMET","C0805C102J5GACTU","Digikey","399-C0805C102J5GACTUCT-ND"
"2","1","C3","0.1uF-50V-5%-0805","KEMET","C0805C104J5RACTU","Digikey","399-C0805C104J5RACTUCT-ND"
"3","1","C4","10pF-50V-5%-0805","YAGEO","CC0805JRNPO9BN100","Digikey","311-1099-1-ND"
"4","1","C5","22nF-50V-5%-0805","TDK Corporation","C2012C0G1H223J125AA","Digikey","445-7522-1-ND"
"5","3","C2,C6,C7","100uF-20%-35V","KYOCERA AVX","RPF0608101M035K","Digikey","478-RPF0608101M035KCT-ND"
"6","2","D1,D6","PWR,SIG","Everlight","QTLP650D4TR/QT15-21SYGD/S530-E2/TR8","Digikey","1080-1419-1-ND"
"7","5","D2-D5,D7","B340AE-13","Diodes Inc","B340AE-13","Digikey","B340AE-13DICT-ND"
"8","1","J1","Power","Weidmuller","1824740000","Digikey","281-2110-ND"
"9","1","J2","SENSOR","Molex","70555-0037","Digikey","WM4176-ND"
"10","1","J3","OUT","Molex","705550036","Digikey","WM4175-ND"
"11","1","L1","33uH-159m-20%","Vishay Dale","IHLE5050FHER6R8M5A","Digikey","541-IHLE5050FHER6R8M5ACT-ND"
"12","1","Q1","SI2318CDS-T1-GE3","Vishay Siliconix","SI2318CDS-T1-GE3","Digikey","SI2318CDS-T1-GE3CT-ND"
"13","1","R1","59.0k-1%-0805","YAGEO","RC0805FR-0759KL","Digikey","311-59.0KCRCT-ND"
"14","1","R2","1k-1%-0805","YAGEO","RC0805FR-071KL","Digikey","311-1.00KCRCT-ND"
"15","1","R3","8.66k-1%-0805","Stackpole Electronics Inc","RMCF0805FT8K66","Digikey","RMCF0805FT8K66CT-ND"
"16","1","R4","2k-1%-0805","Vishay Dale","CRCW08052K00FKEA","Digikey","541-2.00KCCT-ND"
"17","1","R5","7.32k-1%-0805","Panasonic Electronic Components","ERJ-6ENF7321V","Digikey","P7.32KCCT-ND"
"18","1","R6","50mOhm-1%-0805","Panasonic Electronic Components","ERJ-6BWFR050V","Digikey","P17581CT-ND"
"19","1","R7","100R-1%-0805","TE Connectivity Passive Product","CRG0805F100R","Digikey","A106053CT-ND"
"20","3","R10-R12","499R-1%-0805","YAGEO","RC0805FR-07499RL","Digikey","311-499CRCT-ND"
"21","1","U1","ITS41k0S-ME-N","Infineon","ITS41K0SMENHUMA1","Digikey","ITS41K0SMENHUMA1CT-ND"
"22","1","U2","LM3478MA","Texas Instruments","LM3478MAX/NOPB","Digikey","296-38111-1-ND"
"23","1","U3","FODM121A","onsemi","FODM121A","Digikey","FODM121A-ND"
